date_key,date,date_id,day_name,day_name_abbrev,day_of_month,day_of_week,day_of_year,holiday_name,is_holiday,is_weekday,is_weekend,month_abbrev,month_end_flag,month_name,month_number,quarter,quarter_name,quarter_short_name,season,week_begin_date,week_begin_date_id,week_num_in_month,week_num_in_year,year,year_and_month,year_and_month_abbrev,year_and_quarter
0,2020-01-01,20200101,Wednesday,Wed,1,4,1,New Year's Day,True,True,False,Jan,False,January,1,1,First,Q1,Winter,2019-12-28,20191228,1,1,2020,2020/01,2020/Jan,2020/Q1
1,2020-01-02,20200102,Thursday,Thu,2,5,2,NoHoliday,False,True,False,Jan,False,January,1,1,First,Q1,Winter,2019-12-28,20191228,1,1,2020,2020/01,2020/Jan,2020/Q1
2,2020-01-03,20200103,Friday,Fri,3,6,3,NoHoliday,False,True,False,Jan,False,January,1,1,First,Q1,Winter,2019-12-28,20191228,1,1,2020,2020/01,2020/Jan,2020/Q1
3,2020-01-04,20200104,Saturday,Sat,4,7,4,NoHoliday,False,False,True,Jan,False,January,1,1,First,Q1,Winter,2019-12-28,20191228,1,1,2020,2020/01,2020/Jan,2020/Q1
4,2020-01-05,20200105,Sunday,Sun,5,1,5,NoHoliday,False,False,True,Jan,False,January,1,1,First,Q1,Winter,2020-01-05,20200105,2,1,2020,2020/01,2020/Jan,2020/Q1
5,2020-01-06,20200106,Monday,Mon,6,2,6,NoHoliday,False,True,False,Jan,False,January,1,1,First,Q1,Winter,2020-01-04,20200104,2,1,2020,2020/01,2020/Jan,2020/Q1
6,2020-01-07,20200107,Tuesday,Tue,7,3,7,NoHoliday,False,True,False,Jan,False,January,1,1,First,Q1,Winter,2020-01-04,20200104,2,1,2020,2020/01,2020/Jan,2020/Q1
7,2020-01-08,20200108,Wednesday,Wed,8,4,8,NoHoliday,False,True,False,Jan,False,January,1,1,First,Q1,Winter,2020-01-04,20200104,2,1,2020,2020/01,2020/Jan,2020/Q1
8,2020-01-09,20200109,Thursday,Thu,9,5,9,NoHoliday,False,True,False,Jan,False,January,1,1,First,Q1,Winter,2020-01-04,20200104,2,1,2020,2020/01,2020/Jan,2020/Q1
9,2020-01-10,20200110,Friday,Fri,10,6,10,NoHoliday,False,True,False,Jan,False,January,1,1,First,Q1,Winter,2020-01-04,20200104,2,1,2020,2020/01,2020/Jan,2020/Q1
10,2020-01-11,20200111,Saturday,Sat,11,7,11,NoHoliday,False,False,True,Jan,False,January,1,1,First,Q1,Winter,2020-01-04,20200104,2,1,2020,2020/01,2020/Jan,2020/Q1
11,2020-01-12,20200112,Sunday,Sun,12,1,12,NoHoliday,False,False,True,Jan,False,January,1,1,First,Q1,Winter,2020-01-12,20200112,3,2,2020,2020/01,2020/Jan,2020/Q1
12,2020-01-13,20200113,Monday,Mon,13,2,13,NoHoliday,False,True,False,Jan,False,January,1,1,First,Q1,Winter,2020-01-11,20200111,3,2,2020,2020/01,2020/Jan,2020/Q1
13,2020-01-14,20200114,Tuesday,Tue,14,3,14,NoHoliday,False,True,False,Jan,False,January,1,1,First,Q1,Winter,2020-01-11,20200111,3,2,2020,2020/01,2020/Jan,2020/Q1
14,2020-01-15,20200115,Wednesday,Wed,15,4,15,NoHoliday,False,True,False,Jan,False,January,1,1,First,Q1,Winter,2020-01-11,20200111,3,2,2020,2020/01,2020/Jan,2020/Q1
15,2020-01-16,20200116,Thursday,Thu,16,5,16,NoHoliday,False,True,False,Jan,False,January,1,1,First,Q1,Winter,2020-01-11,20200111,3,2,2020,2020/01,2020/Jan,2020/Q1
16,2020-01-17,20200117,Friday,Fri,17,6,17,NoHoliday,False,True,False,Jan,False,January,1,1,First,Q1,Winter,2020-01-11,20200111,3,2,2020,2020/01,2020/Jan,2020/Q1
17,2020-01-18,20200118,Saturday,Sat,18,7,18,NoHoliday,False,False,True,Jan,False,January,1,1,First,Q1,Winter,2020-01-11,20200111,3,2,2020,2020/01,2020/Jan,2020/Q1
18,2020-01-19,20200119,Sunday,Sun,19,1,19,NoHoliday,False,False,True,Jan,False,January,1,1,First,Q1,Winter,2020-01-19,20200119,4,3,2020,2020/01,2020/Jan,2020/Q1
19,2020-01-20,20200120,Monday,Mon,20,2,20,NoHoliday,False,True,False,Jan,False,January,1,1,First,Q1,Winter,2020-01-18,20200118,4,3,2020,2020/01,2020/Jan,2020/Q1
20,2020-01-21,20200121,Tuesday,Tue,21,3,21,NoHoliday,False,True,False,Jan,False,January,1,1,First,Q1,Winter,2020-01-18,20200118,4,3,2020,2020/01,2020/Jan,2020/Q1
21,2020-01-22,20200122,Wednesday,Wed,22,4,22,NoHoliday,False,True,False,Jan,False,January,1,1,First,Q1,Winter,2020-01-18,20200118,4,3,2020,2020/01,2020/Jan,2020/Q1
22,2020-01-23,20200123,Thursday,Thu,23,5,23,NoHoliday,False,True,False,Jan,False,January,1,1,First,Q1,Winter,2020-01-18,20200118,4,3,2020,2020/01,2020/Jan,2020/Q1
23,2020-01-24,20200124,Friday,Fri,24,6,24,NoHoliday,False,True,False,Jan,False,January,1,1,First,Q1,Winter,2020-01-18,20200118,4,3,2020,2020/01,2020/Jan,2020/Q1
24,2020-01-25,20200125,Saturday,Sat,25,7,25,NoHoliday,False,False,True,Jan,False,January,1,1,First,Q1,Winter,2020-01-18,20200118,4,3,2020,2020/01,2020/Jan,2020/Q1
