mobility_key,province,subregion,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
0,Ontario,Ottawa Division,-28.0,-6.0,-4.0,-64.0,-53.0,18.0
1,Ontario,Ottawa Division,-32.0,-9.0,-26.0,-68.0,-53.0,19.0
2,Ontario,Ottawa Division,-24.0,3.0,5.0,-61.0,-52.0,18.0
3,Ontario,Ottawa Division,-29.0,0.0,19.0,-57.0,-50.0,17.0
4,Ontario,Ottawa Division,-29.0,1.0,89.0,-49.0,-4.0,6.0
5,Ontario,Ottawa Division,-27.0,4.0,96.0,-51.0,0.0,3.0
6,Ontario,Ottawa Division,-70.0,-62.0,42.0,-81.0,-84.0,24.0
7,Ontario,Ottawa Division,-34.0,-7.0,-28.0,-65.0,-55.0,20.0
8,Ontario,Ottawa Division,-31.0,-6.0,23.0,-63.0,-53.0,19.0
9,Ontario,Ottawa Division,-33.0,-9.0,-25.0,-64.0,-54.0,21.0
10,Ontario,Ottawa Division,-35.0,-8.0,-3.0,-61.0,-50.0,20.0
11,Ontario,Ottawa Division,-25.0,-2.0,107.0,-46.0,-7.0,6.0
12,Ontario,Ottawa Division,-25.0,-1.0,55.0,-52.0,-6.0,6.0
13,Ontario,Ottawa Division,-34.0,-12.0,-19.0,-66.0,-57.0,20.0
14,Ontario,Ottawa Division,-31.0,-7.0,0.0,-63.0,-54.0,19.0
15,Ontario,Ottawa Division,-36.0,-13.0,-25.0,-67.0,-54.0,21.0
16,Ontario,Ottawa Division,-30.0,-4.0,0.0,-61.0,-53.0,19.0
17,Ontario,Ottawa Division,-30.0,-8.0,76.0,-56.0,-48.0,17.0
18,Ontario,Ottawa Division,-27.0,-1.0,38.0,-49.0,-8.0,7.0
19,Ontario,Ottawa Division,-23.0,1.0,60.0,-51.0,-4.0,5.0
20,Ontario,Ottawa Division,-35.0,-13.0,-31.0,-66.0,-56.0,20.0
21,Ontario,Ottawa Division,-31.0,-5.0,-15.0,-63.0,-53.0,19.0
22,Ontario,Ottawa Division,-31.0,-6.0,-9.0,-63.0,-52.0,19.0
23,Ontario,Ottawa Division,-28.0,-2.0,-21.0,-63.0,-52.0,19.0
24,Ontario,Ottawa Division,-32.0,-3.0,-2.0,-59.0,-48.0,19.0
25,Ontario,Ottawa Division,-26.0,3.0,51.0,-47.0,-6.0,6.0
26,Ontario,Ottawa Division,-29.0,-3.0,-21.0,-56.0,-9.0,6.0
27,Ontario,Ottawa Division,-35.0,-12.0,-29.0,-67.0,-55.0,19.0
28,Ontario,Ottawa Division,-36.0,-15.0,-36.0,-66.0,-53.0,20.0
29,Ontario,Ottawa Division,-35.0,-12.0,-14.0,-67.0,-52.0,20.0
30,Ontario,Ottawa Division,-29.0,-7.0,10.0,-62.0,-51.0,19.0
31,Ontario,Ottawa Division,-33.0,-11.0,21.0,-59.0,-48.0,19.0
32,Ontario,Ottawa Division,-20.0,-3.0,114.0,-47.0,-2.0,5.0
33,Ontario,Ottawa Division,-15.0,1.0,143.0,-49.0,2.0,3.0
34,Ontario,Ottawa Division,-27.0,-8.0,34.0,-64.0,-53.0,18.0
