mobility_key,province,subregion,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,date
0,Ontario,Ottawa Division,-28,-6,-4,-64,-53,18,10/6/2020
1,Ontario,Ottawa Division,-32,-9,-26,-68,-53,19,10/7/2020
2,Ontario,Ottawa Division,-24,3,5,-61,-52,18,10/8/2020
3,Ontario,Ottawa Division,-29,0,19,-57,-50,17,10/9/2020
4,Ontario,Ottawa Division,-29,1,89,-49,-4,6,10/10/2020
5,Ontario,Ottawa Division,-27,4,96,-51,0,3,10/11/2020
6,Ontario,Ottawa Division,-70,-62,42,-81,-84,24,10/12/2020
7,Ontario,Ottawa Division,-34,-7,-28,-65,-55,20,10/13/2020
8,Ontario,Ottawa Division,-31,-6,23,-63,-53,19,10/14/2020
9,Ontario,Ottawa Division,-33,-9,-25,-64,-54,21,10/15/2020
10,Ontario,Ottawa Division,-35,-8,-3,-61,-50,20,10/16/2020
11,Ontario,Ottawa Division,-25,-2,107,-46,-7,6,10/17/2020
12,Ontario,Ottawa Division,-25,-1,55,-52,-6,6,10/18/2020
13,Ontario,Ottawa Division,-34,-12,-19,-66,-57,20,10/19/2020
14,Ontario,Ottawa Division,-31,-7,0,-63,-54,19,10/20/2020
15,Ontario,Ottawa Division,-36,-13,-25,-67,-54,21,10/21/2020
16,Ontario,Ottawa Division,-30,-4,0,-61,-53,19,10/22/2020
17,Ontario,Ottawa Division,-30,-8,76,-56,-48,17,10/23/2020
18,Ontario,Ottawa Division,-27,-1,38,-49,-8,7,10/24/2020
19,Ontario,Ottawa Division,-23,1,60,-51,-4,5,10/25/2020
20,Ontario,Ottawa Division,-35,-13,-31,-66,-56,20,10/26/2020
21,Ontario,Ottawa Division,-31,-5,-15,-63,-53,19,10/27/2020
22,Ontario,Ottawa Division,-31,-6,-9,-63,-52,19,10/28/2020
23,Ontario,Ottawa Division,-28,-2,-21,-63,-52,19,10/29/2020
24,Ontario,Ottawa Division,-32,-3,-2,-59,-48,19,10/30/2020
25,Ontario,Ottawa Division,-26,3,51,-47,-6,6,10/31/2020
26,Ontario,Ottawa Division,-29,-3,-21,-56,-9,6,11/1/2020
27,Ontario,Ottawa Division,-35,-12,-29,-67,-55,19,11/2/2020
28,Ontario,Ottawa Division,-36,-15,-36,-66,-53,20,11/3/2020
29,Ontario,Ottawa Division,-35,-12,-14,-67,-52,20,11/4/2020
30,Ontario,Ottawa Division,-29,-7,10,-62,-51,19,11/5/2020
31,Ontario,Ottawa Division,-33,-11,21,-59,-48,19,11/6/2020
32,Ontario,Ottawa Division,-20,-3,114,-47,-2,5,11/7/2020
33,Ontario,Ottawa Division,-15,1,143,-49,2,3,11/8/2020
34,Ontario,Ottawa Division,-27,-8,34,-64,-53,18,11/9/2020
35,Ontario,Ottawa Division,-25,-6,20,-60,-50,18,11/10/2020
36,Ontario,Ottawa Division,-26,-9,-2,-65,-56,20,11/11/2020
37,Ontario,Ottawa Division,-26,-3,-14,-62,-50,19,11/12/2020
38,Ontario,Ottawa Division,-30,-10,-12,-60,-48,20,11/13/2020
39,Ontario,Ottawa Division,-20,-1,37,-48,-4,6,11/14/2020
40,Ontario,Ottawa Division,-26,-8,-30,-56,-6,7,11/15/2020
