date_key,date,date_id,day_name,day_name_abbrev,day_of_month,day_of_week,day_of_year,holiday_name,is_holiday,is_weekday,is_weekend,month_abbrev,month_end_flag,month_name,month_number,quarter,quarter_name,quarter_short_name,season,week_begin_date,week_begin_date_id,week_num_in_month,week_num_in_year,year,year_and_month,year_and_month_abbrev,year_and_quarter
4,2020-01-05,20200105,Sunday,Sun,5,1,5,NoHoliday,False,False,True,Jan,False,January,1,1,First,Q1,Winter,2020-01-05,20200105,2,1,2020,2020/01,2020/Jan,2020/Q1
8,2020-01-09,20200109,Thursday,Thu,9,5,9,NoHoliday,False,True,False,Jan,False,January,1,1,First,Q1,Winter,2020-01-04,20200104,2,1,2020,2020/01,2020/Jan,2020/Q1
11,2020-01-12,20200112,Sunday,Sun,12,1,12,NoHoliday,False,False,True,Jan,False,January,1,1,First,Q1,Winter,2020-01-12,20200112,3,2,2020,2020/01,2020/Jan,2020/Q1
20,2020-01-21,20200121,Tuesday,Tue,21,3,21,NoHoliday,False,True,False,Jan,False,January,1,1,First,Q1,Winter,2020-01-18,20200118,4,3,2020,2020/01,2020/Jan,2020/Q1
21,2020-01-22,20200122,Wednesday,Wed,22,4,22,NoHoliday,False,True,False,Jan,False,January,1,1,First,Q1,Winter,2020-01-18,20200118,4,3,2020,2020/01,2020/Jan,2020/Q1
23,2020-01-24,20200124,Friday,Fri,24,6,24,NoHoliday,False,True,False,Jan,False,January,1,1,First,Q1,Winter,2020-01-18,20200118,4,3,2020,2020/01,2020/Jan,2020/Q1
27,2020-01-28,20200128,Tuesday,Tue,28,3,28,NoHoliday,False,True,False,Jan,False,January,1,1,First,Q1,Winter,2020-01-25,20200125,5,4,2020,2020/01,2020/Jan,2020/Q1
60,2020-03-01,20200301,Sunday,Sun,1,1,61,NoHoliday,False,False,True,Mar,False,March,3,1,First,Q1,Winter,2020-03-01,20200301,1,9,2020,2020/03,2020/Mar,2020/Q1
70,2020-03-11,20200311,Wednesday,Wed,11,4,71,NoHoliday,False,True,False,Mar,False,March,3,1,First,Q1,Winter,2020-03-07,20200307,2,10,2020,2020/03,2020/Mar,2020/Q1
82,2020-03-23,20200323,Monday,Mon,23,2,83,NoHoliday,False,True,False,Mar,False,March,3,1,First,Q1,Spring,2020-03-21,20200321,4,12,2020,2020/03,2020/Mar,2020/Q1
94,2020-04-04,20200404,Saturday,Sat,4,7,95,NoHoliday,False,False,True,Apr,False,April,4,2,Second,Q2,Spring,2020-03-28,20200328,1,13,2020,2020/04,2020/Apr,2020/Q2
105,2020-04-15,20200415,Wednesday,Wed,15,4,106,NoHoliday,False,True,False,Apr,False,April,4,2,Second,Q2,Spring,2020-04-11,20200411,3,15,2020,2020/04,2020/Apr,2020/Q2
107,2020-04-17,20200417,Friday,Fri,17,6,108,NoHoliday,False,True,False,Apr,False,April,4,2,Second,Q2,Spring,2020-04-11,20200411,3,15,2020,2020/04,2020/Apr,2020/Q2
119,2020-04-29,20200429,Wednesday,Wed,29,4,120,NoHoliday,False,True,False,Apr,False,April,4,2,Second,Q2,Spring,2020-04-25,20200425,5,17,2020,2020/04,2020/Apr,2020/Q2
